type,epic,feature,item_id,priority,release,size,title,description,acceptance_criteria
US,E0 — Foundations SaaS (MVP),"Multi-tenant, Auth, RBAC",US-001,P0,MVP,L,Créer et gérer des **tenants** (entreprises/écoles),,"AC1 Given super admin, When création tenant, Then tenant_id unique + paramètres init | AC2 Then toutes les données « tenant-scoped » sont isolées (filtrage strict)"
US,E0 — Foundations SaaS (MVP),"Multi-tenant, Auth, RBAC",US-002,P0,MVP,L,Inviter des utilisateurs et attribuer un **rôle** (Admin tenant / Formateur / Joueur / Observateur),,"AC1 When invitation envoyée, Then lien activation + expiration | AC2 Then RBAC empêche l’accès non autorisé aux écrans/actions"
US,E0 — Foundations SaaS (MVP),"Multi-tenant, Auth, RBAC",US-003,P0,MVP,M,"Authentification sécurisée (login/logout, reset)",,"AC1 When login valide, Then session créée + expiration | AC2 Then tentatives invalides journalisées"
US,E0 — Foundations SaaS (MVP),"Multi-tenant, Auth, RBAC",US-004,P0,MVP,M,Journal d’audit (actions sensibles),,"AC1 When création/modif session, Then audit log « qui/quand/quoi » | AC2 Then consultation audit par Admin tenant"
US,E0 — Foundations SaaS (MVP),Stockage & versioning des parties,US-005,P0,MVP,L,Stocker l’état complet d’une partie par tour,,"AC1 Then chaque tour persiste : décisions, événements, indices, P&L, métriques portefeuille | AC2 Then reprise/relecture au tour N possible"
US,E0 — Foundations SaaS (MVP),Stockage & versioning des parties,US-006,P0,MVP,M,Gestion version moteur (engine_version),,AC1 Then chaque partie référence engine_version | AC2 Then recalcul rétroactif interdit par défaut
US,E1 — Sessions & Core Gameplay Loop (MVP),Création/paramétrage session (côté admin),US-010,P0,MVP,M,"Créer une session avec : vitesse, difficulté, durée, produits 1+, catalogue événements baseline",,"AC1 Given session, When produits sélectionnés, Then UI/leviers se configurent en conséquence | AC2 Then impossible de lancer sans au moins 1 produit"
US,E1 — Sessions & Core Gameplay Loop (MVP),Création/paramétrage session (côté admin),US-011,P0,MVP,M,Générer un code/lien de session (rejoindre),,"AC1 When session créée, Then code unique + état « brouillon/prête/lancée/terminée »"
US,E1 — Sessions & Core Gameplay Loop (MVP),Onboarding joueur et sélection,US-012,P0,MVP,M,"Rejoindre une session, choisir une compagnie parmi 18",,AC1 Then fiche compagnie (traits) visible avant confirmation | AC2 Then sélection verrouillée au lancement
US,E1 — Sessions & Core Gameplay Loop (MVP),Onboarding joueur et sélection,US-013,P0,MVP,M,Confirmer le scope produits (affiché au joueur) avant tour 1,,AC1 Then le joueur voit les produits inclus (Auto/MRH…)
